GEOGRAPHY_ID,GEOGRAPHY_ID_TYPE,GEOGRAPHY_NAME,GEOGRAPHY_TYPE,GEOGRAPHY_COMMUNITY_NAME,GEOGRAPHY_COMMUNITY_ID,PDX18_TYPE,COO16_TYPE,COO18_TYPE,COOREV18_MF_TYPE,COOREV18_SF_TYPE
53033007401,GEOID,"Census Tract 74.01, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033007402,GEOID,"Census Tract 74.02, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033007500,GEOID,"Census Tract 75, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033007600,GEOID,"Census Tract 76, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033007700,GEOID,"Census Tract 77, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033007800,GEOID,"Census Tract 78, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033007900,GEOID,"Census Tract 79, King County, Washington",tract,NA,NA,NA,NA,Continued Loss,NA,Continued Loss
53033008001,GEOID,"Census Tract 80.01, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033008002,GEOID,"Census Tract 80.02, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033008100,GEOID,"Census Tract 81, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033008200,GEOID,"Census Tract 82, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,Continued Loss,NA
53033008300,GEOID,"Census Tract 83, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033008400,GEOID,"Census Tract 84, King County, Washington",tract,NA,NA,NA,NA,NA,Continued Loss,NA
53033008500,GEOID,"Census Tract 85, King County, Washington",tract,NA,NA,Early Type 2,NA,NA,Dynamic,NA
